Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1989,.37,.38,.36,.51,.21,.45,.47,.76,.33,.15,.26,.37,.65,.39
1990,.53,.63,.43,.75,.46,.39,.69,.89,.66,.44,.49,.36,.44,.40
1991,.52,.52,.52,.58,.42,.60,.84,.69,.39,.41,.42,.43,.49,1.09
1992,.24,.18,.29,.14,.33,.20,-.10,.33,.10,.25,.41,.15,.06,.46
1993,.26,.26,.27,.23,.35,.18,.64,.27,.03,.33,.38,.24,.27,-.10
1994,.38,.48,.30,.55,.37,.23,.41,.52,.63,.37,.38,.40,.11,-.05
1995,.57,.78,.38,.92,.56,.21,1.38,1.10,.60,.53,.59,.36,.00,.11
1996,.49,.44,.53,.41,.46,.61,.89,.28,.32,.48,.43,.33,.70,1.17
1997,.54,.68,.41,.73,.56,.32,.84,.94,.53,.59,.53,.47,.29,-.02
1998,.84,.97,.71,.99,.96,.51,.97,.97,1.03,.94,.99,.57,.58,.27
1999,.59,.69,.49,.87,.43,.51,.52,.88,1.01,.41,.46,.68,.52,.08
2000,.57,.71,.43,.87,.42,.47,1.21,.89,.71,.45,.38,.53,.46,.34
2001,.67,.85,.49,.96,.57,.50,1.08,.91,.96,.65,.49,.50,.50,.45
2002,.79,.96,.63,1.06,.75,.56,1.40,1.14,.86,.78,.73,.47,.44,.90
2003,.77,.95,.60,1.05,.74,.51,1.58,1.23,.70,.76,.71,.53,.42,.55
2004,.67,.87,.48,.94,.65,.43,.74,1.13,.87,.74,.55,.55,.57,-.04
2005,.86,1.06,.68,1.19,.81,.61,2.08,1.33,.71,.84,.78,.57,.48,.79
2006,.76,.99,.54,1.15,.65,.51,1.72,1.11,.95,.72,.58,.60,.43,.39
2007,.84,1.09,.62,1.31,.67,.61,2.00,1.41,.95,.71,.63,.49,.36,1.17
2008,.63,.80,.48,.98,.50,.47,1.44,1.05,.73,.51,.50,.51,.37,.48
2009,.78,.87,.69,.87,.81,.65,1.28,.69,.85,.87,.75,.67,.44,.86
2010,.90,1.15,.67,1.24,.93,.53,1.99,1.05,1.08,.99,.87,.59,.44,.47
2011,.78,.95,.62,1.11,.58,.70,2.19,1.05,.71,.65,.51,.66,.50,1.04
2012,.76,.99,.55,1.13,.68,.50,1.94,.92,.96,.74,.62,.62,.35,.42
2013,.81,.94,.69,1.01,.76,.66,1.24,1.15,.81,.81,.72,.69,.45,.84
2014,.87,1.11,.64,1.27,.78,.58,1.88,1.37,.93,.84,.73,.74,.24,.60
2015,.97,1.32,.65,1.46,1.01,.42,1.72,1.62,1.23,1.07,.97,.81,.16,-.21
2016,1.24,1.63,.88,1.85,1.19,.69,3.15,1.72,1.42,1.25,1.13,.76,.66,.52
2017,1.13,1.39,.90,1.59,1.01,.86,2.26,1.57,1.31,1.04,.97,.97,.70,.76
2018,1.05,1.23,.88,1.39,.89,.94,1.92,1.32,1.23,.96,.82,.88,.83,1.15
